unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
392,texture,lined,0.06414177579887755,white-c,72511065.0,2789093.0,2028772.0,0.027688462178127763,sky,36622673.0,1264341.0,578330.0,0.015501216821263382,wing,323329.0,298358.0,3293.0,0.005325084007930218,church-outdoor-s,225792.0,625156.0,8134.0,0.009651002475041942,lined,1568000.0,1221338.0,168129.0,0.06414177579887755
505,texture,lined,0.061902519855174025,white-c,72511065.0,2978305.0,1759516.0,0.02386436300280752,sky,36622673.0,1320738.0,616819.0,0.016524921428669407,screen,677188.0,371133.0,8409.0,0.008086261145173822,ski_slope-s,150528.0,584301.0,10534.0,0.01454379776196163,lined,1568000.0,1341443.0,169603.0,0.061902519855174025
75,texture,lined,0.06059928844555833,white-c,72511065.0,2674371.0,2186991.0,0.029959418998582777,sky,36622673.0,1369653.0,783901.0,0.0210678361150734,screen,677188.0,225106.0,3454.0,0.0038427306305905385,valley-s,501760.0,671177.0,8671.0,0.007447610769360267,lined,1568000.0,975753.0,145342.0,0.06059928844555833
47,texture,lined,0.05819814131402736,white-c,72511065.0,3021062.0,2472690.0,0.033844909043030266,sky,36622673.0,1650702.0,914146.0,0.024469080986655265,cloud,129326.0,416657.0,2677.0,0.004927241738541447,ski_slope-s,150528.0,809778.0,15945.0,0.01688443296578321,lined,1568000.0,1086653.0,145999.0,0.05819814131402736
431,color,blue-c,0.055285465453654085,blue-c,61494563.0,3826437.0,3422109.0,0.055285465453654085,sky,36622673.0,2592296.0,1768758.0,0.0472346320966893,screen,677188.0,664539.0,16549.0,0.012488133669590047,beach-s,990976.0,1199126.0,59660.0,0.028003578600121478,bubbly,1517824.0,1257223.0,119283.0,0.04491475899213936
221,color,blue-c,0.05424482545932186,blue-c,61494563.0,3855980.0,3362529.0,0.05424482545932186,sky,36622673.0,2608186.0,1635691.0,0.043508011455089125,screen,677188.0,770634.0,19812.0,0.013873852424002632,beach-s,990976.0,1169707.0,66905.0,0.03195419953786887,bubbly,1517824.0,1258250.0,121797.0,0.04588707207273393
2,texture,gauzy,0.05409064190843551,white-c,72511065.0,2593035.0,1462806.0,0.019863936665751692,sky,36622673.0,1289839.0,534771.0,0.014307204921774164,cloud,129326.0,189999.0,1634.0,0.005143362575584449,bathroom-s,9257472.0,704611.0,108717.0,0.011033488454605259,gauzy,1630720.0,818896.0,125702.0,0.05409064190843551
256,color,red-c,0.05271194838824082,red-c,21004512.0,2361674.0,1170004.0,0.05271194838824082,bottle,940208.0,649610.0,12050.0,0.007637371273850148,body,1291612.0,236953.0,6443.0,0.0042329064293138135,wine_cellar-bottle_storage-s,150528.0,286619.0,7736.0,0.018015374547927274,knitted,1856512.0,920761.0,80931.0,0.030015109359272672
409,object,sky,0.052504960554880326,blue-c,61494563.0,2403609.0,2314963.0,0.03759081473003461,sky,36622673.0,2188880.0,1936142.0,0.052504960554880326,cloud,129326.0,103430.0,3462.0,0.01509851980426875,highway-s,4076800.0,1275285.0,97355.0,0.018527117473209852,bubbly,1517824.0,300361.0,19667.0,0.010935114355263611
175,scene,highway-s,0.052278149760876975,blue-c,61494563.0,2422457.0,1604493.0,0.0257491242491257,sky,36622673.0,1889186.0,1135774.0,0.030387719848132835,wave,42267.0,340867.0,4178.0,0.011025026652170698,highway-s,4076800.0,952394.0,249855.0,0.052278149760876975,crystalline,1530368.0,390616.0,32637.0,0.01728337005857504
332,color,red-c,0.051553619094853974,red-c,21004512.0,2981425.0,1175938.0,0.051553619094853974,bottle,940208.0,690173.0,17447.0,0.010816933612906665,body,1291612.0,322598.0,14977.0,0.009365114401716322,wine_cellar-bottle_storage-s,150528.0,290446.0,7652.0,0.017658923387227046,banded,2571520.0,1150857.0,106174.0,0.02936063047345517
17,color,blue-c,0.051183014746103817,blue-c,61494563.0,3704273.0,3174588.0,0.051183014746103817,sky,36622673.0,2481245.0,1536393.0,0.04089683842627376,screen,677188.0,721089.0,20938.0,0.015201776759388937,beach-s,990976.0,1126198.0,54281.0,0.026313046774602465,bubbly,1517824.0,1220797.0,108935.0,0.04142509790142245
94,object,road,0.051151912740039156,grey-c,159331282.0,2630463.0,1686252.0,0.010520959682838098,road,12902886.0,2108235.0,730482.0,0.051151912740039156,crosswalk,241792.0,227899.0,3016.0,0.006462741736754699,highway-s,4076800.0,1184746.0,85417.0,0.01650210031473327,bubbly,1517824.0,228648.0,10535.0,0.006068768624667831
451,color,blue-c,0.05114167345063554,blue-c,61494563.0,3711434.0,3172497.0,0.05114167345063554,sky,36622673.0,2405180.0,1431068.0,0.03806357378696077,wing,323329.0,689311.0,12175.0,0.012169341256315813,beach-s,990976.0,1100420.0,62638.0,0.030875047689275903,bubbly,1517824.0,1292645.0,123594.0,0.04599916259595255
