unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
92,texture,lined,0.13597770191435116,white-c,72511065.0,2557450.0,317745.0,0.004250725444032215,stairway,494268.0,879307.0,41970.0,0.031518355668535336,crosswalk,241792.0,159586.0,17986.0,0.04691282029880643,sauna-s,238336.0,447240.0,14614.0,0.02178066716147859,lined,1568000.0,1060766.0,314666.0,0.13597770191435116
141,texture,banded,0.13049849617147585,white-c,72511065.0,2774124.0,812033.0,0.01090370065691858,windowpane,8841352.0,955516.0,143174.0,0.014831006659212526,pane,480756.0,373066.0,12948.0,0.015398264187024452,bathroom-s,9257472.0,806975.0,195694.0,0.019829658316506654,banded,2571520.0,871481.0,397441.0,0.13049849617147585
36,texture,lined,0.11501001085901051,white-c,72511065.0,3342071.0,1869287.0,0.02526614964301195,windowpane,8841352.0,1041652.0,206895.0,0.02138204520019359,sash,104750.0,219815.0,5556.0,0.017416436526869142,window_seat-s,577024.0,686679.0,32045.0,0.02601777441465082,lined,1568000.0,1771174.0,344426.0,0.11501001085901051
318,texture,chequered,0.10654950206416715,black-c,139916835.0,1861846.0,659682.0,0.0046746505054220235,fireplace,390206.0,722369.0,21565.0,0.019766088303498592,screen,677188.0,310880.0,16180.0,0.01664800882406203,art_gallery-s,953344.0,533297.0,35462.0,0.024436682173598158,chequered,1530368.0,350453.0,181104.0,0.10654950206416715
310,texture,stratified,0.10584802056465895,brown-c,182265724.0,2566770.0,1737891.0,0.00949176530342623,ground,7897548.0,988189.0,95580.0,0.010873525922233243,drawer,540514.0,202201.0,4644.0,0.006292077591451228,bakery-shop-s,715008.0,479709.0,22890.0,0.019533600096259943,stratified,1568000.0,976595.0,243560.0,0.10584802056465895
494,texture,potholed,0.10235540937862886,blue-c,61494563.0,2982819.0,634692.0,0.009941498392376636,airplane,1293178.0,1892689.0,115919.0,0.03775927149254645,wing,323329.0,1295813.0,47632.0,0.030309702133616712,hot_spring-s,163072.0,346404.0,14226.0,0.028724886420999487,potholed,1580544.0,751878.0,216569.0,0.10235540937862886
276,texture,lined,0.09920225182910408,white-c,72511065.0,3009292.0,897913.0,0.012032747145081445,skyscraper,1270392.0,1135081.0,95001.0,0.04111757251332195,pane,480756.0,253486.0,10251.0,0.014159015788870301,skyscraper-s,4402944.0,929359.0,143649.0,0.02768521470115371,lined,1568000.0,1358482.0,264113.0,0.09920225182910408
255,part,roof,0.09714566790448752,brown-c,182265724.0,2298320.0,944420.0,0.005143350037575505,house,1833277.0,1762649.0,166809.0,0.04864488438277259,roof,443437.0,413075.0,75839.0,0.09714566790448752,house-s,689920.0,1088237.0,30036.0,0.017181876998216942,,24924928.0,240780.0,169583.0,0.006784371577594527
33,texture,grid,0.09678748433293892,white-c,72511065.0,3182186.0,2215242.0,0.030148367248219805,windowpane,8841352.0,1437112.0,324439.0,0.03259374976454248,pane,480756.0,269362.0,20831.0,0.028563514775390205,window_seat-s,577024.0,919959.0,27836.0,0.01894704886577041,grid,1682240.0,977111.0,234678.0,0.09678748433293892
296,texture,chequered,0.09549711212858863,white-c,72511065.0,2362604.0,482461.0,0.006485457259949321,windowpane,8841352.0,1132498.0,109814.0,0.011132765533296918,pane,480756.0,487947.0,14361.0,0.015048064530325604,art_gallery-s,953344.0,910544.0,55840.0,0.030884135819403025,chequered,1530368.0,329177.0,162101.0,0.09549711212858863
369,texture,paisley,0.09090982966409276,pink-c,18491188.0,2222403.0,200435.0,0.0097710464445354,skyscraper,1270392.0,918172.0,30778.0,0.014263694360793888,wheel,1513439.0,248908.0,7521.0,0.004285895011813137,skyscraper-s,4402944.0,570130.0,82199.0,0.01680660413525187,paisley,1555456.0,995185.0,212555.0,0.09090982966409276
71,part,screen,0.08743859255982335,blue-c,61494563.0,2806545.0,754823.0,0.01187831829980305,tvmonitor,1019561.0,1285664.0,103701.0,0.04710418782625127,screen,677188.0,448635.0,90525.0,0.08743859255982335,airport_terminal-s,1480192.0,609907.0,34583.0,0.01682448591983716,chequered,1530368.0,697320.0,136098.0,0.06506915791335778
