unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
208,texture,banded,0.12531218941247163,pink-c,18491188.0,3042121.0,146070.0,0.006829773586015474,curtain,3110939.0,1339477.0,167150.0,0.039023959754075514,headboard,500152.0,442103.0,7196.0,0.007695771068991368,hotel_room-s,2207744.0,1030373.0,44505.0,0.013935631504390639,banded,2571520.0,589698.0,352026.0,0.12531218941247163
74,scene,highway-s,0.11947794009372352,blue-c,61494563.0,2869490.0,628893.0,0.009867285184504125,airplane,1293178.0,2508475.0,78899.0,0.021193718413840937,body,1291612.0,665663.0,41759.0,0.02180039216587071,highway-s,4076800.0,1533757.0,598795.0,0.11947794009372352,grooved,1505280.0,175955.0,13730.0,0.008233858369240272
413,object,bed,0.10860701222819656,pink-c,18491188.0,3032935.0,173327.0,0.008118057987158886,bed,5899566.0,1642068.0,738832.0,0.10860701222819656,headboard,500152.0,978281.0,37864.0,0.02628405859073741,bedroom-s,19167232.0,1435197.0,924721.0,0.046993328694581706,freckled,1555456.0,39663.0,3357.0,0.0021089836294621933
278,texture,banded,0.10840820146862021,yellow-c,34166024.0,3637414.0,378371.0,0.010110095460884545,screen door,313214.0,513915.0,15750.0,0.019411397139930904,water tank,81859.0,189631.0,1903.0,0.007058945720676439,fitting_room-exterior-s,150528.0,332019.0,19775.0,0.04273162594106816,banded,2571520.0,2421154.0,488310.0,0.10840820146862021
233,scene,waterfall-fan-s,0.10412685252357756,purple-c,10857154.0,2710238.0,133917.0,0.009968902313064937,waterfall,258712.0,1451085.0,111590.0,0.06982199427233143,muzzle,666221.0,616197.0,20170.0,0.015979427180712505,waterfall-fan-s,250880.0,548149.0,75354.0,0.10412685252357756,striped,2433536.0,836262.0,106056.0,0.03352232893832683
455,texture,swirly,0.10036484397892523,pink-c,18491188.0,3005149.0,155852.0,0.0073031142450605034,motorbike,1440771.0,901533.0,72069.0,0.03174517175534691,wheel,1513439.0,625302.0,72264.0,0.03496966092533331,car_interior-backseat-s,163072.0,301403.0,7467.0,0.016338882470328744,swirly,1605632.0,1267096.0,262023.0,0.10036484397892523
56,texture,porous,0.09756385112361889,grey-c,159331282.0,3591287.0,1507182.0,0.00933728827227605,sand,921203.0,1283491.0,47252.0,0.0219018634104648,ear,784263.0,368882.0,7013.0,0.006118841459796952,desert-sand-s,275968.0,586159.0,39128.0,0.047543192640574286,porous,1856512.0,2100063.0,351705.0,0.09756385112361889
379,scene,highway-s,0.09682404526266941,blue-c,61494563.0,2796168.0,680451.0,0.01069718605231733,sky,36622673.0,2219602.0,587856.0,0.015367008972218347,back pillow,282308.0,638662.0,8771.0,0.009615226502111928,highway-s,4076800.0,1505962.0,492828.0,0.09682404526266941,,24924928.0,72813.0,69858.0,0.002802404038882885
62,scene,highway-s,0.09334909388458827,green-c,63326720.0,3041014.0,587533.0,0.008931760485195233,sea,2272224.0,2805255.0,140863.0,0.02853432391743656,body,1291612.0,663980.0,9995.0,0.005137240651584064,highway-s,4076800.0,1564573.0,481655.0,0.09334909388458827,,24924928.0,206959.0,140456.0,0.005620166368224372
36,texture,grid,0.0907002251898869,white-c,72511065.0,2969788.0,1336034.0,0.018019249598545787,windowpane,8841352.0,946256.0,242865.0,0.025444896735302355,sash,104750.0,236359.0,9682.0,0.02921306954472628,window_seat-s,577024.0,645834.0,20032.0,0.016654112897459817,grid,1682240.0,1258230.0,244523.0,0.0907002251898869
