unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
300,texture,perforated,0.11424626103027068,purple-c,10857154.0,3829583.0,152644.0,0.010502478551637174,field,1883336.0,370929.0,32851.0,0.014788328515080934,lid,90429.0,71307.0,1422.0,0.00887009244357947,corral-s,175616.0,221072.0,5911.0,0.01512627406423612,perforated,1793792.0,3328534.0,525204.0,0.11424626103027068
17,texture,dotted,0.11075086772023837,pink-c,18491188.0,3277281.0,376394.0,0.017595020585894544,ball,122639.0,973546.0,41646.0,0.039492138270846314,body,1291612.0,346841.0,17819.0,0.010995079703375345,ball_pit-s,275968.0,495052.0,55382.0,0.07738828849222651,dotted,2935296.0,1751715.0,467333.0,0.11075086772023837
361,texture,perforated,0.10794914587812524,blue-c,61494563.0,3245693.0,407327.0,0.006331547565633146,ball,122639.0,500490.0,13757.0,0.02257570088550179,water tank,81859.0,229978.0,5011.0,0.016331731991421843,ball_pit-s,275968.0,333403.0,20177.0,0.03424508735662617,perforated,1793792.0,2227269.0,391778.0,0.10794914587812524
138,texture,dotted,0.10366034062600926,pink-c,18491188.0,2888791.0,234211.0,0.011076022398429794,ball,122639.0,620846.0,11725.0,0.016023013009729963,shade,197478.0,238182.0,4487.0,0.010406495768519826,ball_pit-s,275968.0,395090.0,14092.0,0.021450120706398804,dotted,2935296.0,1462743.0,413082.0,0.10366034062600926
266,texture,gauzy,0.09810964680278017,white-c,72511065.0,3362038.0,842781.0,0.01123253875946314,curtain,3110939.0,1423161.0,74948.0,0.016807680025260407,pane,480756.0,423787.0,15567.0,0.01751115890642717,bathroom-s,9257472.0,1146938.0,217235.0,0.02132436126796683,gauzy,1630720.0,837590.0,220529.0,0.09810964680278017
318,texture,gauzy,0.09404931134160857,white-c,72511065.0,3393407.0,882044.0,0.011757070832205004,curtain,3110939.0,1146854.0,44294.0,0.01051240311199789,pane,480756.0,300107.0,6540.0,0.00844608774374518,bathroom-s,9257472.0,799359.0,138386.0,0.013952388706092538,gauzy,1630720.0,1586332.0,276552.0,0.09404931134160857
489,texture,gauzy,0.09322627143438207,yellow-c,34166024.0,3535373.0,340419.0,0.009111619080207162,bathtub,583451.0,1209604.0,21344.0,0.012047111521009917,water tank,81859.0,302843.0,4074.0,0.010703363914373085,corridor-s,1530368.0,895369.0,86199.0,0.03684445390500175,gauzy,1630720.0,1433309.0,261289.0,0.09322627143438207
88,texture,cracked,0.0900566653115408,yellow-c,34166024.0,3142086.0,270103.0,0.007292590014360114,field,1883336.0,900085.0,28919.0,0.010498812489517161,wing,323329.0,370838.0,5014.0,0.007275597726484538,anechoic_chamber-s,137984.0,448783.0,6085.0,0.010479057384248175,cracked,1593088.0,1721020.0,273800.0,0.0900566653115408
297,texture,gauzy,0.08911665262319508,white-c,72511065.0,3469896.0,1136648.0,0.01518683189730127,bathtub,583451.0,1083152.0,24381.0,0.014846348423051207,footboard,366693.0,405712.0,7423.0,0.009703496291416005,bathroom-s,9257472.0,905117.0,178331.0,0.017861217128002902,gauzy,1630720.0,1437803.0,251081.0,0.08911665262319508
320,texture,gauzy,0.08643940346964435,white-c,72511065.0,3319864.0,1298036.0,0.017415612728195053,skyscraper,1270392.0,1102038.0,43808.0,0.01881284296034307,pane,480756.0,353152.0,6562.0,0.007931385417950892,bathroom-s,9257472.0,746408.0,152022.0,0.01543079488153402,gauzy,1630720.0,1426527.0,243241.0,0.08643940346964435
234,scene,ball_pit-s,0.08555770585664724,red-c,21004512.0,2814135.0,174282.0,0.007370974014315884,ball,122639.0,768545.0,38315.0,0.0449248360533681,headboard,500152.0,243327.0,4843.0,0.006556680150980996,ball_pit-s,275968.0,454367.0,57561.0,0.08555770585664724,polka-dotted,1705984.0,1367599.0,155829.0,0.053407175519252136
222,object,grass,0.084692290208139,green-c,63326720.0,3150209.0,1328883.0,0.02039789497293595,grass,12961339.0,2209470.0,1184530.0,0.084692290208139,leg,2786636.0,722115.0,14236.0,0.004073812818087775,fairway-s,288512.0,1140789.0,49531.0,0.03589801198750516,veined,1806336.0,393455.0,37172.0,0.017188418302068003
250,texture,porous,0.08435438434106685,grey-c,159331282.0,3858161.0,1657688.0,0.010262304151898802,grass,12961339.0,1482603.0,563204.0,0.04057449971319969,leg,2786636.0,328158.0,4060.0,0.0013051582038194202,pasture-s,852992.0,534933.0,43332.0,0.03222685228913136,porous,1856512.0,2393782.0,330640.0,0.08435438434106685
394,texture,cracked,0.08338305045560392,pink-c,18491188.0,3835820.0,202864.0,0.009169349105664833,fence,2236367.0,661410.0,31634.0,0.011037132480828766,safety side,15966.0,173516.0,733.0,0.003883464283254479,wheat_field-s,175616.0,310405.0,8497.0,0.017793870046322276,cracked,1593088.0,2886767.0,344794.0,0.08338305045560392
27,texture,perforated,0.08183012312064249,grey-c,159331282.0,3662207.0,1245381.0,0.007699508917903386,sand,921203.0,441655.0,14764.0,0.010951758556895884,clouds,116722.0,103098.0,1878.0,0.008616971487827033,wheat_field-s,175616.0,222412.0,9284.0,0.023882040623135013,perforated,1793792.0,3044016.0,365934.0,0.08183012312064249
174,texture,perforated,0.08182422725164852,purple-c,10857154.0,3507397.0,170923.0,0.012042234726737941,ball,122639.0,786994.0,30145.0,0.03427562399941784,trunk,43897.0,143191.0,1068.0,0.005741318137834639,ball_pit-s,275968.0,455330.0,42221.0,0.06127181722797306,perforated,1793792.0,2678306.0,338249.0,0.08182422725164852
99,texture,dotted,0.07946868920529018,pink-c,18491188.0,3459632.0,189016.0,0.0086856769778829,house,1833277.0,1051600.0,28753.0,0.010067139942103355,pane,480756.0,343507.0,8260.0,0.010122511804490914,bow_window-outdoor-s,288512.0,633661.0,11345.0,0.012455699649110478,dotted,2935296.0,1772254.0,346562.0,0.07946868920529018
79,texture,dotted,0.07767679307065328,pink-c,18491188.0,3393140.0,397299.0,0.01849017842345724,bird,1030707.0,974433.0,28410.0,0.014372220788878603,wing,323329.0,380950.0,4860.0,0.006948624501193132,mountain_snowy-s,1793792.0,397101.0,42769.0,0.019909930711634896,dotted,2935296.0,2221617.0,371700.0,0.07767679307065328
58,texture,lacelike,0.07655580307216134,white-c,72511065.0,3485549.0,731906.0,0.009724424892474173,bed,5899566.0,1470916.0,88817.0,0.012197347721983914,wing,323329.0,595038.0,7940.0,0.008721182478111917,baptistry-outdoor-s,175616.0,721795.0,14519.0,0.01644481997798145,lacelike,1530368.0,1318991.0,202623.0,0.07655580307216134
163,texture,perforated,0.0759402032558513,purple-c,10857154.0,3157249.0,95097.0,0.00683202165395315,bird,1030707.0,785761.0,12470.0,0.006912424514883054,body,1291612.0,376053.0,14133.0,0.008547158446283471,home_theater-s,313600.0,316689.0,8311.0,0.013362208952728228,perforated,1793792.0,1676538.0,244937.0,0.0759402032558513
315,texture,flecked,0.0701093515990632,black-c,139916835.0,3371567.0,1875472.0,0.01326237989694436,stage,281762.0,1007640.0,14309.0,0.011221926557513844,hair,989801.0,530502.0,10120.0,0.006701174625856602,forest-broadleaf-s,1216768.0,308622.0,28360.0,0.018944176135414787,flecked,1580544.0,1187510.0,181352.0,0.0701093515990632
461,texture,pitted,0.06879547490214843,grey-c,159331282.0,3851058.0,2271648.0,0.014117445968102604,bathtub,583451.0,781269.0,18913.0,0.014053278070332522,clouds,116722.0,226299.0,5291.0,0.01566636070233618,road_cut-s,137984.0,407511.0,12776.0,0.023982624986155922,pitted,1831424.0,2523971.0,280345.0,0.06879547490214843
112,scene,corridor-s,0.06864129962284772,grey-c,159331282.0,3171263.0,1033047.0,0.006397784180885977,platform,408426.0,1439834.0,32556.0,0.017930235324700502,drawer,540514.0,361866.0,8914.0,0.009976876568330522,corridor-s,1530368.0,1050903.0,165801.0,0.06864129962284772,lined,1568000.0,423528.0,50727.0,0.02613714646684539
53,texture,dotted,0.06791329134078429,white-c,72511065.0,2466210.0,552241.0,0.007420097382824172,toilet,310112.0,916448.0,20601.0,0.017082670306370284,lid,90429.0,428755.0,7825.0,0.01530236096362829,bathroom-s,9257472.0,471607.0,107639.0,0.011187410616290284,dotted,2935296.0,502130.0,218601.0,0.06791329134078429
205,object,grass,0.06781255937531244,green-c,63326720.0,3038193.0,1222243.0,0.01876255609418527,grass,12961339.0,2578062.0,986846.0,0.06781255937531244,leg,2786636.0,722526.0,17787.0,0.005094554437721528,fairway-s,288512.0,1224739.0,45638.0,0.03109675370823235,matted,1593088.0,326477.0,32703.0,0.01733195114428082
445,texture,lacelike,0.06735128761381226,grey-c,159331282.0,3643422.0,1306619.0,0.00808210847552255,earth,4188226.0,943674.0,119378.0,0.023815955321492853,lid,90429.0,185438.0,1689.0,0.006160231674313764,forest-broadleaf-s,1216768.0,431727.0,40408.0,0.02512799369685844,lacelike,1530368.0,2577390.0,259205.0,0.06735128761381226
338,texture,dotted,0.0671607415774477,grey-c,159331282.0,3481286.0,1722230.0,0.010691081919512764,water,5655946.0,1465252.0,74574.0,0.01058294014268393,balcony,317196.0,600464.0,6707.0,0.007362619147200788,butte-s,125440.0,727879.0,10460.0,0.01241014214714442,dotted,2935296.0,1378490.0,271484.0,0.0671607415774477
282,texture,marbled,0.0669920069482365,grey-c,159331282.0,3635088.0,2337801.0,0.014554079729117179,bathtub,583451.0,1223155.0,29911.0,0.01683519118363028,water tank,81859.0,136800.0,3126.0,0.014503579498267081,sandbar-s,163072.0,576141.0,11826.0,0.016258195431042895,marbled,1693440.0,2028927.0,233712.0,0.0669920069482365
323,texture,polka-dotted,0.06685750510829834,brown-c,182265724.0,3269041.0,990523.0,0.005367401276058236,toilet,310112.0,993927.0,41478.0,0.03285227406834204,lid,90429.0,450607.0,16500.0,0.03145637287049887,bathroom-s,9257472.0,627015.0,181568.0,0.018712719337345803,polka-dotted,1705984.0,947951.0,166316.0,0.06685750510829834
184,texture,polka-dotted,0.06629415655600834,purple-c,10857154.0,3496832.0,123156.0,0.008654168449767161,ball,122639.0,1296676.0,27488.0,0.019749580946482572,roof,443437.0,340567.0,10762.0,0.013918023076863385,ball_pit-s,275968.0,902525.0,41788.0,0.03676239657606855,polka-dotted,1705984.0,1751864.0,214983.0,0.06629415655600834
